Brands,Models,registration_year,insurance_validity,fuel_type,seats,kms_driven,ownsership,transmission,manufacturing_year,mileage(kmpl),engine(cc),max_power(bhp),price(in lakhs)
Mercedes-Benz,E-Class Exclusive E 220 d BSIV,2019,Zero Dep,Diesel,5,50605,Second Owner,Automatic,2019,16.1,1950.0,1950.0,39.9
Audi,Q7 3.0 TDI Quattro Technology,2017,Comprehensive,Diesel,7,70000,Second Owner,Automatic,2017,12.07,2967.0,2967.0,40.0
Hyundai,Creta 1.6 Gamma SX Plus,2015,Comprehensive,Petrol,5,49341,First Owner,Manual,2015,15.29,1591.0,1591.0,8.42
Isuzu,MU-X 4X2,2018,Comprehensive,Diesel,7,55000,First Owner,Automatic,2018,13.8,2999.0,2999.0,18.95
Hyundai,Creta 1.4 S,2019,Comprehensive,Diesel,5,55861,First Owner,Manual,2019,22.1,1396.0,1396.0,10.27
Land,Rover Discovery HSE 3.0 Si6,2018,Third Party insurance,Petrol,7,76000,Second Owner,Automatic,2018,9.17,2995.0,2995.0,49.5
Toyota,Innova Crysta 2.4 G MT,2018,Comprehensive,Diesel,7,68000,First Owner,Manual,2018,13.68,2393.0,2393.0,14.25
Honda,Amaze VX i-VTEC,2014,Comprehensive,Petrol,5,52565,First Owner,Manual,2014,17.8,1198.0,1198.0,4.17
Volvo,S90 D4 Momentum,2018,Comprehensive,Diesel,5,72000,First Owner,Automatic,2018,18.0,1969.0,1969.0,29.55
Audi,Q7 45 TDI Quattro Technology,2017,Comprehensive,Diesel,7,70000,Second Owner,Automatic,2017,14.75,2967.0,2967.0,40.0
Hyundai,Grand i10 1.2 Kappa Sportz BSIV,2019,Comprehensive,Petrol,5,73074,First Owner,Manual,2019,18.9,1197.0,1197.0,4.93
Tata,Harrier XZ,2019,Third Party insurance,Diesel,5,45000,First Owner,Manual,2019,16.35,1956.0,1956.0,13.75
Renault,KWID 1.0 RXT Optional AT 2016-2019,2017,Third Party insurance,Petrol,5,30000,First Owner,Automatic,2017,23.01,999.0,999.0,3.35
Maruti,Wagon R LXI BS IV,2014,Third Party insurance,Petrol,5,42346,Second Owner,Manual,2014,20.51,998.0,998.0,3.01
Honda,City i-VTEC CVT VX,2020,Comprehensive,Petrol,5,31120,First Owner,Automatic,2020,18.0,1497.0,1497.0,11.5
Hyundai,Verna 1.6 SX CRDI (O) AT,2014,Third Party insurance,Diesel,5,100000,First Owner,Automatic,2014,22.32,1582.0,1582.0,3.95
Toyota,Yaris J CVT BSIV,2018,Third Party insurance,Petrol,5,33500,First Owner,Automatic,2018,17.8,1496.0,1496.0,7.5
BMW,7 Series 740Li M Sport,2022,Comprehensive,Petrol,4,4000,First Owner,Automatic,2022,11.86,2998.0,2998.0,1.25
